"","CE1","CE10","CE11","CE12","CE13","CE14","CE15","CE16","CE17","CE18","CE19","CE2","CE20","CE21","CE22","CE23","CE24","CE25","CE26","CE27","CE29","CE3","CE30","CE31","CE4","CE5","CE6","CE7","CE8","CE9","ME1","ME10_S3","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME2","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME29","ME3","ME30","ME31","ME5","ME6","ME7","ME8","ME9","CV","mean_expression"
"ENSG00000156508",13.5973074914132,13.54183249243,13.294952191697,12.9438105344598,13.5474160519471,13.2159968731199,13.6494288351417,13.4186697693082,13.8650578464598,13.6238457826096,13.5930878015318,13.0977596562849,13.1757014501375,13.4671860952864,13.7678093957296,13.047828029596,13.7139318337771,13.7980314893914,13.6532390065189,14.3257806027233,13.3709632892329,13.3399801406293,11.6846247976115,13.2099303725415,14.791865312671,14.379939978349,13.5468882674769,13.9690576043157,13.2154820342858,13.4941377641928,13.9239076278864,13.72286409364,13.6588115866959,14.1659834637814,13.3653043379757,13.8100373099652,14.0883022723526,14.6336053892889,14.0311177557967,13.8016032975884,13.9040851432216,13.6137849562768,13.0739626808986,14.2308340948058,13.7203878172615,12.9845395469346,13.7932075282339,13.6927821123443,13.4494315568825,13.8141381802965,13.0378427840189,13.74239287707,13.1020476862618,13.4475013995557,13.7984406798922,13.0205870471342,13.5816314158565,13.691702846184,13.5112944212176,0.0345155197294176,13.5890453339015
"ENSG00000075624",12.3370066102678,12.7462834290463,12.1633626396104,13.391997977817,13.0882081215068,13.2377643170954,12.9456154643359,13.0941579653765,12.3828135741124,12.5770664444843,12.5172676712219,12.6418104824777,13.9797185128699,13.3051619422197,12.9590319196664,13.0455069579791,12.5509829021385,13.2475125158759,13.3404214239074,13.4838953275026,12.0655039995,12.9953522789659,13.9851994734711,13.5314318344683,12.6649148376809,12.7695320857553,13.9710234789401,12.3137955880541,13.5311519844059,12.2387282771622,12.4379849412371,12.8526588578444,12.6224028351001,12.2418159684762,12.0064389975503,13.6909548381283,12.8481644882085,12.4240229034543,11.8842178853816,12.595301952265,12.479339101375,13.0403316898199,13.5166203696116,12.3379347414767,12.33744815728,12.8758475501059,12.6315987937781,11.869799282192,12.3074450118109,12.772807906696,12.511919961863,12.8878630544943,12.2642445525928,13.2578019093386,12.5087083258889,13.2175698852604,12.5850824080995,12.8294672727458,12.2326643169469,0.0407995039714082,12.7995030168973
"ENSG00000100316",11.7022088536283,11.587069599061,11.9628885174144,11.3849025990481,12.5792407234872,11.5764589576132,11.4032880974059,11.3869074634317,11.9618331516835,11.2884493215808,11.4781549545355,10.8625929891538,11.891853028053,11.8219777957916,11.9451779758774,11.1882404591301,11.393003033392,11.3316021313836,11.5755498741987,12.1145162070497,11.55537171647,11.3583034445662,11.6480496065066,11.2494245913502,12.8418011756087,12.5482250053132,11.6672857364707,11.6666082136784,11.9818943212744,11.5537628909721,11.9093510287607,11.9718493548384,12.0456263291797,11.7185101179586,11.3305035944201,11.9797438850326,12.3951895938415,12.6985953837643,11.9290573987021,11.541788814119,11.6443859684852,11.7417097313555,13.2566915695457,12.2161918750962,11.8716923106286,11.1954569080383,11.4475505791716,11.8535539252832,11.7259200523803,11.7532342252407,10.8775083653843,12.4111068092804,10.8853088718052,12.0904800132047,11.5958033679783,11.8112094326632,11.3669619570832,12.1733591145341,11.5864930390785,0.0397718115536746,11.7547707805421
"ENSG00000147403",11.0730880900224,11.380337059729,11.4376403396416,10.7661183481609,11.1856437187119,11.1046202117586,11.1890132905844,11.1070901089564,11.9419770955429,10.9839398194264,11.2017033809486,10.3799094883384,11.2421465934003,11.3273419828743,11.4534954307571,10.8761768780192,10.9249726856575,10.8078604287068,11.1557520904994,11.9738872377232,10.9187754901078,10.9971465739441,12.0365564647192,10.8535982479155,12.448087292561,12.0108181294038,10.9682197569806,11.4235474909342,11.3326853620394,11.0668926499135,11.1706631685434,11.2333171554309,11.6118859996445,11.8039405878626,10.7864035485545,11.473944373326,12.0987754341507,12.5286189338384,11.4650597362034,11.4033875597369,11.451462586306,11.0152058681016,11.2441509926763,11.4118630864545,11.3457830022874,10.8265321269267,10.8708520564385,10.9700700537463,11.2032740045078,11.4344083426306,10.0651217886724,12.0609804066853,10.4994610657499,11.2914705955192,11.3214076754381,10.8098056667311,10.8210731657703,11.5425140589463,11.1472511156404,0.0414027275482357,11.2623343371949
"ENSG00000174444",11.0945417054801,11.0745198479195,11.0992238882242,10.7535673091196,11.6536187380486,10.9459746684594,11.0687686253847,10.9347240166683,11.4885203620124,10.9580713868923,10.8831542646964,10.3098017118288,11.2237013543755,11.3190918221323,11.3934944723079,10.5476675904841,11.0786289055354,10.9979044145472,10.992627565488,11.8392678478485,10.9925964854821,10.9255950345397,10.9319927039936,10.8114721133919,12.285139192758,11.9523101314612,11.092902120314,11.354584579475,11.4521610072672,10.9430311173617,11.3114126180881,11.1306366483543,11.691084683068,11.4460723034925,11.0140324460827,11.6556178868466,11.9637018746834,12.3743614470324,11.4739710251362,11.441429216754,11.391321461689,11.0634835933298,12.3134713764316,11.4199368062343,11.3798193076541,10.8800031361873,11.2424718113191,11.0075042951424,11.1108328690299,11.4389359138095,10.655117831931,12.0249337895982,10.6248880861153,11.4264611985552,11.5158914438009,11.4128720879347,11.1354086087389,11.3039760965639,11.0200797249075,0.0377014757875078,11.2587861791866
"ENSG00000184009",11.0656488058524,11.2923547287246,11.2938696547848,11.266824537086,11.5248608154451,11.2317575601564,11.4221768657274,11.2536602611641,11.606270744239,10.8250736371145,11.025730602178,10.9105195359943,11.6004386817898,11.2243633007712,11.2457783851085,11.2625256933475,11.0735824855606,11.0367828675258,11.3673281836725,11.6629122910022,10.9550192747264,11.0210474533349,10.824438702652,11.0984920194479,11.9951701915654,11.96040154677,11.6766965748064,11.3909012630176,11.4117672765416,10.9783016897044,11.2352994483344,11.4211324887899,11.0981945037456,11.5440477966702,10.6054646089441,12.0851476123001,11.3063066381957,11.3541587635461,10.8697397047252,10.758984493586,10.8202259489106,11.3739573971976,11.928448501424,10.7632594811714,10.9804701297914,11.1536520616199,10.7552197565388,10.9097354801561,11.0849866555304,11.1934271140562,10.7906608378584,11.2670166386924,10.7783695844964,11.1944341201761,11.0287360187113,11.444817292317,10.4387789019381,11.4109705186866,10.9948901379243,0.030741009417269,11.2050038689126
"ENSG00000167658",10.8969289401867,11.4394786432699,10.8612744797845,10.3087798992081,10.5294024711831,10.5887960664899,11.2010743736206,10.8758057069513,11.0779336567814,11.0082845121002,11.3100434432343,10.9528599770295,10.4514500420811,10.8559295794154,10.9550706775784,10.8812008564971,11.2850295395535,11.0999291408985,11.4167538414968,11.3682702429666,11.1623561029081,10.7536710895561,10.7935229186188,10.9337595074512,12.062527603965,12.1302000321514,11.3258175131635,11.3535181668942,10.7780131473113,10.9530968732334,11.4399306192936,11.0813570884766,11.1465783552837,11.5237710612246,11.4958952316604,11.5331046806194,11.4960245624823,11.6390047160478,11.6483253455198,11.5371117056743,11.2853696244946,10.8893554137121,11.6655808089263,11.1533422230073,10.9716077597186,10.7818771080347,11.7619563507987,11.14113238425,11.2091061007888,11.1787865826939,11.0200711938087,11.2881917180817,11.096324966875,11.4660092993621,11.6062194835535,10.5501703301222,10.851437160547,11.0745865366433,10.9945912700428,0.033250864234828,11.1548745547004
"ENSG00000174748",10.6417498483835,10.6987096390979,10.8848411173334,10.3515705933982,10.8304443217048,10.683727168768,10.4231128182705,10.4313773083401,11.0648354348816,10.4520222739411,10.5931331023241,9.85113816275362,10.6190018357609,10.5884250319801,10.7654678714625,10.043589640101,10.49342719958,10.3585410009504,10.5644975140605,11.0959465535729,10.5505726063646,10.3492547498285,10.6513468680314,10.2552985928493,11.5866666508304,11.1951891472677,10.5028427527688,10.8896890189454,10.3515933936469,10.5239645426849,10.9282115594384,11.0413968472307,11.3873308560512,11.626385504779,10.3669152766406,11.3164503356824,11.3182338992541,11.8539768571632,11.1472293348048,10.9686891135781,11.0648483315359,10.6625633364368,11.3791264362322,11.3445387438462,10.802674257583,10.5669073720938,10.5460153526598,10.5786460821077,10.664224094066,10.8537486011659,10.2112581678787,11.4749922106106,9.92022426722908,10.6660989881858,10.9829963233264,11.2604309666395,10.7504831822607,11.3451982035428,10.9224203218401,0.0396808229879163,10.7837998573516
"ENSG00000147604",10.7819626269692,10.3657556100134,10.7228429867362,10.3623851852001,11.1276104368947,10.5495644367951,10.154292649312,10.5251095760773,10.8801002761974,10.2651475241217,10.2865112968955,9.93978900946499,10.6795026519962,10.5606555902447,11.1769448652424,10.1319884813266,10.659752200487,10.5827490636892,10.4658731161879,11.1682962802977,10.5432153020788,10.5748182747443,10.0519509164814,10.390961682799,11.7330940107956,11.3593303082804,10.5697730533537,10.9278602484409,10.9070463280661,10.5050450975263,10.8540234689139,10.9215741140062,11.3960842333894,11.265085770475,9.97126809101254,10.8782077125427,11.4876077747665,11.555520587127,10.5151675928745,10.5940070667777,10.9451110238088,10.6135121950129,11.4877617387473,11.1518359536848,11.0195637855918,10.598562521035,10.6210415240955,10.5236847583657,10.4939744892679,10.8204649590271,9.85341101876054,11.6424557126471,9.94300909815375,10.6493076205856,11.0448676004022,10.7736406560702,10.4724675769056,10.7683355244801,10.5241210677778,0.0408443650166811,10.7175526156444
"ENSG00000108298",10.6267214959056,10.5160188329559,10.620817480647,10.0130910346706,11.2206269014503,10.3706391941618,10.3820968884522,10.3884279635786,11.1939746215643,10.2565150990569,10.4762527889437,9.75531751013139,10.6737737641103,10.6931589025551,10.9184693097634,10.285969047041,10.2572612078225,10.0607159770174,10.4728376655467,11.270110059463,10.6035708861893,10.4398820726288,10.9989861371684,10.1788035916558,11.8320098538664,11.3371666399811,10.5194912947823,10.7637365931025,10.7798467877991,10.4123470432514,10.7108338965022,10.510529412612,10.8981435233965,11.5962095519524,10.0766900684896,11.1692203825292,11.2272700483716,11.6227450954007,10.651247036161,10.7706057060126,10.9343524509597,10.5539464897433,11.5602187755064,10.8648813602003,10.8710144270694,10.3862848377966,10.108183682783,10.3389569524217,10.6595396611398,10.8476583342343,9.98170696453439,11.4614713152088,9.79739759493283,10.7925022725911,10.6239624331881,11.1003896175064,10.2700708151345,10.833701146428,10.4606783958491,0.0432079184051633,10.6779499812529
"ENSG00000110651",10.4407035671509,10.3740556776807,10.2547157088212,10.3934724623401,10.6641505926962,10.8867903887143,10.1672746424601,10.1979627340173,10.4330669524804,10.255896516255,10.0361510609588,10.020443985682,11.0087275172652,10.8028006087794,10.2793415491852,11.0319112225935,10.3174282675964,10.7538519724069,10.9636045654255,10.9678021701974,10.0567216126669,10.6245580041154,12.1490325766306,10.7743900493122,10.005286154836,10.1749603537633,11.0884383964254,10.0599143326403,11.2324618503775,10.3070279129165,10.5535535669416,10.5221761755999,10.3502247078167,10.129169778989,10.1936923772687,11.5018546700235,10.4860866419811,10.255126428519,10.0720643532415,10.3598172596951,10.1269488347419,10.6449542232789,11.7862520888584,9.78284230177982,10.3538133704168,10.875287535177,10.1319916785096,10.7034574955206,10.5879439034092,10.5074186907322,10.3690232129825,10.8907497677192,10.0662298672852,10.9587470474891,10.2869920105431,10.3677438797212,10.5607792393143,10.4134427773173,10.1843169695031,0.042466522427713,10.5211126145893
"ENSG00000087460",10.03500128659,9.94131702872203,10.2982949617747,9.92404154058475,9.84963315745993,9.90032855452236,9.73861795640888,9.77155264728515,10.1718389046026,9.5406778908905,9.80770181805525,9.66046874961254,10.0746225276862,10.2142651061532,10.1975327342734,9.92710573706244,9.62013034698089,9.65011709739068,10.1152329346109,10.3315486140463,9.788073573583,9.89947189432874,10.1558793884038,9.98241015397539,10.773673151673,10.5857379692637,9.95756024681355,9.88589956945905,9.97441437256623,9.85347957906172,10.110315366356,10.4366912335752,10.062486632191,11.0947300642376,9.74204586969224,10.4246080833337,10.1690835568146,10.3563533345674,9.80013629152139,9.74017016888872,9.88664933546022,10.4806423696898,10.0854869214386,10.1174096335259,10.0061752916149,9.86706971723524,9.72026488570553,10.4811432686858,10.2544312283541,10.1724833180227,9.64449969080271,10.0486021831758,9.76456638083304,10.4097280166603,9.8807976388007,9.99843153278137,9.80905923886777,10.2222879913433,10.0247584553661,0.02965595505939,10.0413175795489
"ENSG00000035862",9.88112660780308,9.99689343645523,9.54497725555178,9.70997216674013,10.4481169753753,10.3345016060988,10.0258518404587,9.66446693451855,9.9287801154416,9.6039112472566,9.92922980477728,9.89207285304014,9.68893926404245,10.0091943681921,9.54354652941841,9.99024790125922,9.60298959459207,9.50997189666107,10.1026022771664,9.48450721459834,9.78132150240654,9.74567516694483,10.0390230289027,10.3313016694953,9.82680295994115,10.730918994015,9.95970774585984,10.2353705844659,9.91091979677918,9.8025982618289,10.0430825597304,9.17590333643479,9.50892875382173,9.08336201641305,9.87909807132119,11.5378326850247,9.48630397410593,9.49192162191393,9.72208057629069,9.57224366627474,9.39387428673811,9.13244164308956,10.5603748371841,9.75228866930981,9.74781431573875,10.0764269915755,10.017383351512,9.06952955997908,10.2193736819539,9.66802776983134,9.91198370396653,10.0572011735472,10.3690233342908,10.5641406171323,9.6898029988953,9.66773239488267,10.155627774314,9.4997082514936,10.126974907156,0.0426624013323947,9.87179706989845
"ENSG00000187514",9.80819821085052,9.64986820790026,10.147460746464,9.58128515443467,9.70896758243001,9.68745193751551,9.50818806721674,9.52900800692399,10.2321361330266,9.68619002869138,9.96347977465503,9.3278099689048,9.55392801589729,10.2249198757265,9.83871382820593,9.99696386615594,9.56522656467433,9.70482814798927,9.80253743772597,10.2189033107722,9.95474303883566,9.72094345416702,8.47157346393959,9.20385885346531,10.5230426022497,9.91066518057939,9.88508864617589,10.1991482154944,9.53654806779307,9.93244380143179,10.0076169065491,9.0027504608386,10.2371411595425,10.2692487736095,9.69663380005764,10.6559184083523,10.4500383700819,10.5559849470416,10.0794911955159,10.2189619419512,10.2298467601718,9.45687478202354,9.44976905769211,10.0611751259863,10.0590383354744,10.0693619424999,9.67191540341676,9.39752698527388,10.2030506896195,10.1021254257382,9.83755264653123,10.3985420942708,9.52132178588878,9.28840380495198,9.76525804471563,9.89452338390347,10.0157576671594,10.2776940601645,10.2840434587556,0.0407273475362329,9.86833368827239
"ENSG00000110321",9.6436151409237,9.71566255063031,9.42373864004624,9.7703847683138,8.8251212789955,9.6245985752453,9.85618538362678,10.0305294819588,9.67963099108433,9.76963349841285,10.037151250734,9.99040000748185,9.89915711514486,9.54457957746989,9.55770754045003,9.5002532314801,9.65513951320277,9.90531998850683,9.74385698803182,9.5666614869765,9.47833485433935,9.72602276823995,8.71737212535583,10.1090217823916,9.75016255817521,9.83284813102434,9.7820194467412,9.94447874453328,9.13836939635085,9.66779476539201,9.90869983973114,10.2298194164565,10.0285029743403,9.80296025913664,9.54255365711571,10.3700510607906,9.74650626376835,9.9277770045247,9.65199655687103,10.1888917036153,10.0926656545272,10.2058548055441,9.31352413286879,10.0043297093598,9.62978326010592,9.88987497686321,10.0880205205854,10.1519624825583,9.86296893677423,9.88544488980357,10.1646472782189,9.67249094191733,10.3329837016256,9.70519976699439,10.171262942487,9.63285640464681,10.0690046560265,9.58171212090141,10.1805247096307,0.0327727554404198,9.79523088489914
